"소방서별(1)","시점",합계,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,행정지원차,행정지원차,행정지원차,행정지원차,행정지원차,행정지원차,행정지원차,행정지원차,행정지원차,행정지원차,기타,기타,기타,기타,기타,기타
"소방서별(1)","시점",소계,소계,고가차,고가차,고가차,고가차,고가차,고가차,고가차,고가차,고가차,고가차,고가차,굴절차,굴절차,굴절차,굴절차,굴절차,굴절차,굴절차,굴절차,굴절차,굴절차,방수탑차(22m),화학차,화학차,화학차,화학차,배연차,구조공작차,제독차,화생방차,조명차·조연차,구조버스,펌프차,펌프차,펌프차,펌프차,물탱크차,구급차,구급차,구급차,지휘차,재난지원차,화재조사차,굴삭기,견인차,미분무가스소방차,기타(이동체험이동정비),홍보차,점검차,순찰차,소계,유조차,행정차,행정차,행정차,행정차,안전진단차,소방홍보차,소방순찰차,교육용차,소계,이륜차,트레일러,유조차,헬기,소방구조정
"소방서별(1)","시점",소계,소계,소계,55m,52m,50m,46m,40m,32m,68m,53m,46m,33m,소계,45m,41m,35m,27m,18.5m,69m,46m,33m,27m,소계,소계,내폭,고성능,일반,소계,소계,소계,소계,소계,소계,소계,대형,중형,소형,소계,소계,승합형,화물형,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,승용차,승합차,화물차,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
"소방안전본부","2023",12,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,2,-,-,-,8,-,7,7,-,-,1,-,-,-,-,-,-,-,-,-
"소방안전본부","2024",16,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,5,-,-,-,8,-,7,5,2,-,1,-,-,-,-,-,-,-,-,-
"동부소방서","2020",31,28,1,-,1,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,1,-,-,1,-,1,-,-,1,-,6,-,6,-,1,5,5,-,1,-,1,-,-,-,7,-,-,2,3,-,3,2,-,1,-,-,-,-,-,-,-,-,-,-
"동부소방서","2021",32,26,1,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,1,-,1,-,-,1,-,1,-,-,1,-,6,-,6,-,1,6,6,-,1,-,1,-,-,-,6,-,-,-,6,-,3,2,-,1,1,-,2,-,-,-,-,-,-,-
"동부소방서","2022",33,26,1,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,1,-,1,-,-,1,-,1,-,-,1,-,6,-,6,-,1,6,6,-,1,-,1,-,-,-,6,-,-,-,6,-,3,2,-,1,1,-,2,-,1,-,1,-,-,-
"동부소방서","2023",34,26,1,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,1,-,1,-,-,1,-,1,-,-,1,1,6,-,6,-,1,6,6,-,1,1,1,-,-,-,4,-,-,-,7,-,3,2,-,1,1,-,2,1,1,-,1,-,-,-
"동부소방서","2024",32,24,1,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,1,-,1,-,-,1,-,1,-,-,1,1,6,-,6,-,1,5,5,-,1,1,-,-,-,-,4,-,-,-,7,-,3,2,-,1,1,-,2,1,1,-,1,-,-,-
"서부소방서","2020",41,38,1,-,-,-,1,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,1,-,-,1,-,1,-,-,1,1,11,-,10,1,1,7,7,-,1,-,1,-,-,-,9,-,-,2,3,-,3,2,-,1,-,-,-,-,-,-,-,-,-,-
"서부소방서","2021",41,35,1,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,1,-,1,-,-,1,-,1,-,-,1,1,11,-,10,1,1,7,7,-,1,-,1,-,-,-,8,-,-,-,6,-,3,2,-,1,1,-,2,-,-,-,-,-,-,-
"서부소방서","2022",44,37,1,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,1,-,1,-,-,1,-,1,-,-,1,1,12,-,11,1,1,8,8,-,1,-,1,-,-,-,8,-,-,-,6,-,3,2,-,1,1,-,2,-,1,-,1,-,-,-
"서부소방서","2023",44,36,1,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,1,-,1,-,-,1,-,1,-,-,1,2,11,-,10,1,1,8,8,-,1,1,1,-,-,-,6,-,-,-,7,-,3,2,-,1,1,-,2,1,1,-,1,-,-,-
"서부소방서","2024",43,35,1,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,1,-,1,-,-,1,-,1,-,-,1,2,11,-,10,1,1,7,7,-,1,1,1,-,-,-,6,-,-,-,7,-,3,2,-,1,1,-,2,1,1,-,1,-,-,-
"남부소방서","2020",32,28,1,-,1,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,1,-,1,-,-,1,-,-,-,1,6,-,6,-,1,5,5,-,1,-,1,-,-,-,7,-,-,2,4,-,4,3,-,1,-,-,-,-,-,-,-,-,-,-
"남부소방서","2021",36,29,1,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,1,-,1,-,1,-,-,1,-,-,-,1,8,-,8,-,1,6,6,-,1,-,1,-,-,-,7,-,-,-,7,-,3,2,-,1,1,-,3,-,-,-,-,-,-,-
"남부소방서","2022",39,30,1,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,1,-,1,-,1,-,-,1,-,-,-,1,8,-,8,-,1,7,7,-,1,-,1,-,-,-,7,-,-,-,8,-,4,3,-,1,1,-,3,-,1,-,1,-,-,-
"남부소방서","2023",40,30,1,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,1,-,1,-,1,-,-,1,-,-,-,2,8,-,8,-,1,7,7,-,1,1,1,-,-,-,5,-,-,-,8,-,3,2,-,1,1,-,3,1,2,-,2,-,-,-
"남부소방서","2024",37,28,1,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,1,-,1,-,1,-,-,1,-,-,-,2,8,-,7,1,1,6,6,-,1,1,-,-,-,-,5,-,-,-,8,-,3,2,-,1,1,-,3,1,1,-,1,-,-,-
"북부소방서","2020",50,47,1,-,-,-,1,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,1,-,-,1,-,1,-,-,1,1,14,-,14,-,2,10,10,-,1,-,1,-,-,-,11,-,-,2,3,-,3,2,-,1,-,-,-,-,-,-,-,-,-,-
"북부소방서","2021",52,46,1,-,-,-,-,-,-,-,-,1,-,2,-,-,-,-,-,1,-,-,1,-,1,-,-,1,-,1,-,-,1,2,14,-,14,-,2,10,10,-,1,-,1,-,-,-,10,-,-,-,6,-,3,2,-,1,1,-,2,-,-,-,-,-,-,-
"북부소방서","2022",55,47,1,-,-,-,-,-,-,-,-,1,-,2,-,-,-,-,-,1,-,-,1,-,1,-,-,1,-,1,-,-,1,2,14,-,14,-,2,11,11,-,1,-,1,-,-,-,10,-,-,-,7,-,3,2,-,1,2,-,2,-,1,-,1,-,-,-
"북부소방서","2023",54,45,1,-,-,-,-,-,-,-,-,1,-,2,-,-,-,-,-,1,-,-,1,-,1,-,-,1,-,1,-,-,1,2,14,-,14,-,2,10,10,-,1,1,1,-,-,-,8,-,-,-,8,-,3,2,-,1,2,-,2,1,1,-,1,-,-,-
"북부소방서","2024",54,45,1,-,-,-,-,-,-,-,-,1,-,2,-,-,-,-,-,1,-,-,1,-,1,-,-,1,-,1,-,-,1,2,14,-,14,-,2,10,10,-,1,1,1,-,-,-,8,-,-,-,8,-,3,2,-,1,2,-,2,1,1,-,1,-,-,-
"광산소방서","2020",51,47,2,-,-,-,1,1,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,2,-,1,1,-,1,-,-,1,2,12,-,12,-,2,9,9,-,1,-,1,-,-,-,11,-,-,2,3,-,3,2,-,1,-,-,-,-,1,-,1,-,-,-
"광산소방서","2021",55,48,1,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,1,-,-,2,-,1,1,-,1,-,-,1,2,14,-,14,-,2,10,10,-,1,-,1,-,-,-,12,-,-,-,6,-,3,2,-,1,1,-,2,-,1,-,1,-,-,-
"광산소방서","2022",56,49,1,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,1,-,-,2,-,1,1,-,1,-,-,1,2,13,-,13,-,4,11,11,-,1,-,1,-,-,-,11,-,-,-,7,-,3,2,-,1,2,-,2,-,-,-,-,-,-,-
"광산소방서","2023",56,47,2,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,1,-,2,-,1,1,-,1,-,-,1,2,11,-,11,-,5,10,10,-,1,1,1,-,-,-,9,-,-,-,8,-,3,2,-,1,2,-,2,1,1,-,1,-,-,-
"광산소방서","2024",56,47,2,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,1,-,2,-,1,1,-,1,-,-,1,2,11,-,11,-,5,10,10,-,1,1,1,-,-,-,9,-,-,-,8,-,3,2,-,1,2,-,2,1,1,-,1,-,-,-
"소방학교","2020",12,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2,-,2,-,-,2,2,-,-,-,-,-,-,-,3,-,-,-,4,-,4,3,-,1,-,-,-,-,-,-,-,-,-,-
"소방학교","2021",11,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2,-,2,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,6,-,6,4,1,1,-,-,-,-,-,-,-,-,-,-
"소방학교","2022",10,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2,-,2,-,-,2,2,-,-,-,-,-,-,-,1,-,-,-,4,-,4,2,1,1,-,-,-,-,-,-,-,-,-,-
"소방학교","2023",11,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2,-,2,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,6,-,6,3,2,1,-,-,-,-,-,-,-,-,-,-
"소방학교","2024",10,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,3,-,3,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,4,-,4,3,-,1,-,-,-,-,-,-,-,-,-,-
"119특수대응단 ","2023",20,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,-,1,-,-,-,-,-,-,-,-,1,1,-,1,-,-,4,-,-,-,3,-,2,1,-,1,-,-,1,-,5,-,3,1,1,-
"119특수대응단 ","2024",20,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,-,1,-,-,-,-,-,-,-,-,1,1,-,1,-,-,4,-,-,-,3,-,2,1,-,1,-,-,1,-,5,-,3,1,1,-
"빛고을국민안전체험관 ","2023",4,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,2,-,1,1,-,-,-,-,1,-,-,-,-,-,-,-
"빛고을국민안전체험관 ","2024",5,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,3,-,2,2,-,-,-,-,1,-,-,-,-,-,-,-
