"소방서별(1)","시점",합계,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,특수소방차,행정지원차,행정지원차,행정지원차,행정지원차,행정지원차,행정지원차,행정지원차,행정지원차,행정지원차,기타,기타,기타,기타,기타
"소방서별(1)","시점",소계,고가차,고가차,고가차,고가차,고가차,고가차,고가차,고가차,고가차,굴절차,굴절차,굴절차,굴절차,굴절차,굴절차,굴절차,굴절차,방수탑차,화학차,화학차,화학차,화학차,배연차,구조공작차,제독차,화생방차,조명차·조연차,구조버스,펌프차,펌프차,펌프차,펌프차,물탱크차,구급차,구급차,구급차,지휘차,재난지원차,홍보차,점검차,순찰차,화재조사차,굴삭기,견인차,미분무가스소방차,기타(이동체험이동정비),유조차,행정차,행정차,행정차,안전진단차,소방홍보차,소방순찰차,교육용차,기타,이륜차,트레일러,유조차,헬기,소방구조정
"소방서별(1)","시점",소계,소계,68m,55m,53m,52m,46m,40m,33m,32m,소계,69m,46m,41m,35m,33m,27m,18.5m,22m,소계,내폭,고성능,일반,소계,소계,소계,소계,소계,소계,소계,대형,중형,소형,소계,소계,승합형,화물형,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,승용차,승합차,화물차,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
"수성소방서","2021",56,1,-,-,-,1,-,-,-,-,1,-,-,-,1,-,-,-,-,1,-,-,1,-,2,-,-,1,1,10,-,9,1,7,12,12,-,1,-,-,-,-,-,-,-,-,1,-,2,1,1,1,1,5,-,3,-,2,-,-,2
"수성소방서","2022",54,-,-,-,-,-,-,-,-,-,2,1,-,-,1,-,-,-,-,1,-,-,1,-,2,-,-,1,1,10,-,9,1,8,10,10,-,1,-,-,-,-,-,-,-,-,1,-,2,1,1,1,1,6,-,3,-,2,-,-,-
"수성소방서","2023",59,-,-,-,-,-,-,-,-,-,2,1,-,-,-,1,-,-,-,1,-,-,1,-,2,-,-,1,1,10,-,9,1,8,11,11,-,2,4,-,-,-,-,-,-,-,1,-,1,1,1,1,1,6,-,3,-,2,-,-,-
"수성소방서","2024",55,-,-,-,-,-,-,-,-,-,2,1,-,-,-,1,-,-,-,1,-,-,1,-,2,-,-,1,1,10,-,9,1,8,11,11,-,2,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,6,-,4,-,2,-,-,-
"달서소방서","2020",41,1,-,-,-,1,-,-,-,-,1,-,-,-,-,-,1,-,-,1,-,-,1,-,1,-,-,1,1,6,-,6,-,3,8,8,-,2,-,1,1,5,-,-,-,-,-,-,2,1,1,-,-,-,-,4,-,1,-,-,-
"달서소방서","2021",44,2,-,-,-,2,-,-,-,-,1,-,-,-,-,-,1,-,-,1,-,-,1,-,2,-,-,1,1,6,-,6,-,3,9,9,-,2,-,-,-,-,-,-,-,-,-,-,2,1,1,1,1,5,-,3,-,1,-,-,1
"달서소방서","2022",42,1,-,-,-,1,-,-,-,-,1,-,-,-,-,-,1,-,-,1,-,-,1,-,2,-,-,1,1,7,-,7,-,4,7,7,-,2,-,-,-,-,-,-,-,-,-,-,2,1,1,1,1,5,-,3,-,1,-,-,-
"달서소방서","2023",46,1,-,-,1,-,-,-,-,-,1,-,-,-,-,1,-,-,-,1,-,-,1,-,2,-,-,1,1,7,-,7,-,5,7,7,-,3,3,-,-,-,-,-,-,-,-,-,1,1,1,1,1,5,-,3,-,1,-,-,-
"달서소방서","2024",42,1,-,-,1,-,-,-,-,-,1,-,-,-,-,1,-,-,-,1,-,-,1,-,2,-,-,1,1,7,-,7,-,4,7,7,-,3,-,-,-,-,-,-,-,-,1,-,1,1,1,1,1,5,-,2,-,1,-,-,-
"달성소방서","2020",45,1,-,-,-,1,-,-,-,-,1,-,-,-,1,-,-,-,-,1,-,1,-,-,1,-,-,1,1,7,-,7,-,5,7,7,-,1,-,1,1,4,-,-,-,-,1,-,2,1,1,-,-,-,-,5,-,3,-,-,-
"달성소방서","2021",49,1,-,-,-,1,-,-,-,-,1,-,-,-,1,-,-,-,-,1,-,1,-,-,3,-,-,1,1,7,-,7,-,5,8,8,-,1,-,-,-,-,-,-,-,-,1,-,2,1,1,1,1,4,-,3,-,3,-,-,3
"달성소방서","2022",45,1,-,-,-,1,-,-,-,-,1,-,-,-,1,-,-,-,-,1,-,1,-,-,3,-,-,1,1,8,-,8,-,5,6,6,-,1,-,-,-,-,-,-,-,-,1,-,2,1,1,1,1,4,-,3,-,3,-,-,-
"달성소방서","2023",51,1,-,-,1,-,-,-,-,-,1,-,-,-,-,1,-,-,-,1,-,1,-,-,3,-,-,1,1,7,-,7,-,5,8,8,-,2,5,-,-,-,-,-,-,-,1,-,1,1,1,1,1,4,-,3,-,3,-,-,-
"달성소방서","2024",48,1,-,-,1,-,-,-,-,-,1,-,-,-,-,1,-,-,-,1,-,1,-,-,3,-,-,1,1,9,-,9,-,5,8,8,-,2,-,-,-,-,-,-,-,-,1,-,1,1,1,1,1,4,-,3,-,3,-,-,-
"강서소방서","2020",43,1,-,-,-,1,-,-,-,-,1,-,-,-,1,-,-,-,-,2,-,-,2,-,1,-,-,1,1,7,-,7,-,4,7,7,-,1,-,1,1,4,-,-,-,-,1,-,2,-,1,-,-,-,-,4,-,3,-,-,-
"강서소방서","2021",49,-,-,-,-,-,-,-,-,-,2,1,-,-,1,-,-,-,-,2,-,-,2,-,2,1,-,1,1,7,-,7,-,4,9,9,-,1,-,-,-,-,-,-,-,-,1,-,2,-,1,1,1,4,-,3,-,3,-,-,3
"강서소방서","2022",41,-,-,-,-,-,-,-,-,-,2,1,-,-,1,-,-,-,-,2,-,-,2,-,2,1,-,1,1,6,-,6,-,3,6,6,-,1,-,-,-,-,-,-,-,-,1,-,2,-,1,1,1,4,-,3,-,3,-,-,-
"강서소방서","2023",47,-,-,-,-,-,-,-,-,-,2,1,-,-,-,1,-,-,-,2,-,-,2,-,2,1,-,1,1,6,-,6,-,3,7,7,-,2,5,-,-,-,-,-,-,-,1,-,1,-,1,1,1,4,-,3,-,3,-,-,-
"강서소방서","2024",44,-,-,-,-,-,-,-,-,-,3,1,-,-,-,1,-,1,-,2,-,-,2,-,2,1,-,1,2,6,-,6,-,3,7,7,-,2,-,-,-,-,-,-,-,-,1,-,1,-,1,1,1,4,-,3,-,3,-,-,-
"강북소방서","2023",77,1,-,-,1,-,-,-,-,-,2,-,-,-,-,1,1,-,-,2,-,1,1,-,4,-,-,1,3,11,-,9,2,8,13,13,-,4,6,-,-,-,1,-,-,-,-,-,-,1,1,2,1,8,-,5,-,3,-,-,-
"강북소방서","2024",72,1,-,-,1,-,-,-,-,-,2,-,-,-,-,1,1,-,-,2,-,1,1,-,4,-,-,1,2,13,-,10,3,8,13,13,-,5,-,-,-,-,1,-,-,-,-,-,1,1,1,2,1,8,-,3,-,3,-,-,-
