"동별(1)","동별(2)",시점,발생 (건),발생 (건),발생 (건),발생 (건),소실,소실,소실,피해액 (천원),피해액 (천원),피해액 (천원),재산피해경감액 (천원),인명피해 (명),인명피해 (명),인명피해 (명),인명피해 (명),사망 (명),사망 (명),사망 (명),사망 (명),부상 (명),부상 (명),부상 (명),부상 (명),이재민수 (명),인명구조 (명)
"동별(1)","동별(2)",시점,소계,실화,방화,기타,동수 (동),이재세대수 (가구),면적 (m²),소계,부동산,동산,소계,소계,남,여,미상,소계,남,여,미상,소계,남,여,미상,소계,소계
"합계","마포구",2023,271,254,6,11,41,7,977,1003983,571621,432362,4696294,7,4,3,-,2,1,1,-,5,3,2,-,28,13
"합계","마포구",2024,331,307,3,21,3,6,724,587775,311547,276228,10649086,11,5,6,-,-,-,-,-,11,5,6,-,8,10
"합계","양천구",2020,153,137,6,10,13,3,256,215416,86760,128656,7146862,-,-,-,-,-,-,-,-,4,-,-,-,5,3
"합계","양천구",2021,151,138,2,11,8,7,307,576094,192645,383449,3040677,-,-,-,-,2,-,-,-,3,-,-,-,16,6
"합계","양천구",2022,159,144,1,14,-,1,460,366561,182185,184376,60259544,6,4,2,-,-,-,-,-,6,4,2,-,4,12
"합계","양천구",2023,162,134,5,23,-,-,372,459875,183475,276400,9427025,11,7,4,-,-,-,-,-,11,7,4,-,-,2
"합계","양천구",2024,176,149,2,25,-,10,7038,2525470,1493398,1032072,7943698,32,23,8,1,1,-,1,-,31,23,7,1,21,6
"합계","강서구",2020,212,193,2,17,37,2,361,200966,91566,109400,19221505,-,-,-,-,3,-,-,-,5,-,-,-,2,9
"합계","강서구",2021,223,197,5,21,37,1,560,559614,196597,363017,17075512,-,-,-,-,2,-,-,-,12,-,-,-,42,9
"합계","강서구",2022,223,181,1,41,48,3,903,545016,194604,350412,13288084,15,10,5,-,4,3,1,-,11,7,4,-,4,9
"합계","강서구",2023,274,219,5,50,10,21,252,523453,180255,343198,32093877,5,4,1,-,-,-,-,-,5,4,1,-,39,33
"합계","강서구",2024,314,262,9,43,7,24,829,753102,300027,453075,30576024,8,6,2,-,1,1,-,-,7,5,2,-,32,13
"합계","구로구",2020,156,142,3,11,-,2,484,398359,208681,189678,64538574,-,-,-,-,2,-,-,-,6,-,-,-,6,1
"합계","구로구",2021,173,147,4,22,-,26,2889,1765589,883333,882256,21478152,-,-,-,-,1,-,-,-,7,-,-,-,27,12
"합계","구로구",2022,222,194,6,22,3,17,497,424132,139453,284679,13137593,5,4,1,-,-,-,-,-,5,4,1,-,24,2
"합계","구로구",2023,200,179,2,19,7,9,722,720757,348200,372557,4374910,11,10,1,-,2,2,-,-,9,8,1,-,22,22
"합계","구로구",2024,204,187,3,14,36,6,872,911734,445751,465983,8814556,6,3,3,-,1,1,-,-,5,2,3,-,9,15
"합계","금천구",2020,127,108,6,13,3,2,503,419587,256259,163328,17572851,-,-,-,-,2,-,-,-,9,-,-,-,8,13
"합계","금천구",2021,118,108,1,9,2,1,423,825255,170912,654343,3998605,-,-,-,-,2,-,-,-,8,-,-,-,1,1
"합계","금천구",2022,214,193,1,20,11,29,1061,934792,467717,467075,3820827,15,12,3,-,1,1,-,-,14,11,3,-,56,41
"합계","금천구",2023,192,174,4,14,8,14,182,630581,135304,495277,28593307,6,4,2,-,1,-,1,-,5,4,1,-,28,7
"합계","금천구",2024,228,207,1,20,13,36,1178,958345,618238,340107,26415623,21,7,12,2,1,-,1,-,20,7,11,2,59,35
"합계","영등포구",2020,225,203,5,17,2,5,649,674796,279030,395766,19320800,-,-,-,-,3,-,-,-,8,-,-,-,13,11
"합계","영등포구",2021,208,176,5,27,2,2,2052,913698,529638,384060,27062367,-,-,-,-,-,-,-,-,8,-,-,-,5,6
"합계","영등포구",2022,249,212,6,31,18,12,1258,823438,440327,383111,15495391,26,22,4,-,5,5,-,-,21,17,4,-,15,16
"합계","영등포구",2023,348,314,6,28,1,31,1309,1681193,600605,1080588,27336657,35,20,15,-,2,1,1,-,33,19,14,-,68,23
"합계","영등포구",2024,336,305,2,29,8,-,3484,1403031,754138,648893,43663230,10,7,3,-,-,-,-,-,10,7,3,-,-,7
"합계","동작구",2020,151,136,3,12,16,2,210,194251,81609,112642,22355167,-,-,-,-,-,-,-,-,7,-,-,-,2,6
"합계","동작구",2021,129,121,-,8,16,6,206,307365,100290,207075,4037972,-,-,-,-,3,-,-,-,9,-,-,-,9,2
"합계","동작구",2022,187,176,2,9,11,8,686,214638,114330,100308,67558388,18,10,8,-,1,-,1,-,17,10,7,-,12,25
"합계","동작구",2023,167,147,2,18,4,7,491,365656,209493,156163,1426928,19,12,7,-,1,-,1,-,18,12,6,-,18,8
"합계","동작구",2024,188,175,-,13,3,6,406,287334,133751,153583,963472,20,8,12,-,-,-,-,-,20,8,12,-,13,33
