단지명,법정동,계약날짜,거래금액,평당가격,전용면적,층,층구간,건축년도,건물연령
강남센트럴아이파크,역삼동,2026-06-04,4300000000,123376440.8,115.216,19,고층,2022,4
래미안라클래시,삼성동,2026-06-16,3620000000,166323780.4,71.95,23,고층,2021,5
신현대11차,압구정동,2026-06-16,9400000000,169426530.7,183.41,4,저층,1983,43
강남자곡 힐스테이트,자곡동,2026-06-12,1400000000,89070823.7,51.96,12,중층,2015,11
삼성동롯데아파트,삼성동,2026-06-04,2350000000,130785016.8,59.4,2,저층,2000,26
도곡렉슬,도곡동,2026-06-13,4180000000,115257109.4,119.8906,5,저층,2006,20
마일스디오빌,논현동,2026-06-05,372000000,33886955.1,36.29,14,중층,2004,22
삼익,도곡동,2026-06-01,2800000000,60218853.7,153.71,6,중층,1983,43
선경1차(1동-7동),대치동,2026-06-02,6000000000,121002928.3,163.92,9,중층,1983,43
세곡푸르지오,세곡동,2026-06-15,1880000000,83153652.7,74.74,15,고층,2012,14
하이페리온,도곡동,2026-06-10,3150000000,57027765.6,182.6,5,저층,2004,22
"현대6차(78~81,83,84,86,87동)",압구정동,2026-06-05,7920000000,166382409.8,157.36,8,중층,1978,48
한보미도맨션1,대치동,2026-06-06,4040000000,158089867.4,84.48,11,중층,1983,43
럭키(963),도곡동,2026-06-14,2620000000,101932399.7,84.97,11,중층,1995,31
래미안블레스티지,개포동,2026-06-13,3920000000,129630137.9,99.967,23,고층,2019,7
성원대치2단지아파트,개포동,2026-06-13,1500000000,149448462.9,33.18,5,저층,1992,34
세곡푸르지오,세곡동,2026-06-12,1910000000,74423361.6,84.84,9,중층,2012,14
논현파라곤,논현동,2026-06-13,1550000000,60710782.0,84.4,7,중층,2007,19
그랜빌캐슬,도곡동,2026-06-11,2500000000,60705891.0,136.14,2,저층,2003,23
신동아,수서동,2026-06-12,1610000000,160408016.9,33.18,5,저층,1992,34
개포자이프레지던스,개포동,2026-06-02,4300000000,138326605.9,102.7636,7,중층,2023,3
현대아파트3,개포동,2026-06-02,4010000000,80904839.8,163.85,6,중층,1986,40
마일스디오빌,논현동,2026-06-12,350000000,31882887.8,36.29,12,중층,2004,22
현대1차101동~106동,개포동,2026-06-10,4000000000,74627236.3,177.19,3,저층,1984,42
성원대치2단지아파트,개포동,2026-06-11,1715000000,143421376.2,39.53,3,저층,1992,34
논현동한화꿈에그린,논현동,2026-06-04,1110000000,54224675.3,67.671,1,저층,2005,21
한솔마을,일원동,2026-06-08,2650000000,137396016.3,63.76,2,저층,1994,32
삼성동힐스테이트 1단지,삼성동,2026-06-10,1730000000,182123240.6,31.402,16,고층,2008,18
우민,논현동,2026-06-09,1430000000,63234623.7,74.758,4,저층,2002,24
삼성동롯데캐슬킹덤,삼성동,2026-06-01,2780000000,69807246.5,131.65,4,저층,2005,21
신현대12차,압구정동,2026-06-10,6100000000,186182070.0,108.31,11,중층,1982,44
펜트힐루논현,논현동,2026-06-02,1000000000,76184550.1,43.392,8,중층,2021,5
타워팰리스3,도곡동,2026-06-04,5700000000,115105863.1,163.702,21,고층,2004,22
한일,삼성동,2026-06-08,2290000000,94286735.6,80.29,9,중층,2001,25
현대1차101동~106동,개포동,2026-06-02,3060000000,106035094.3,95.4,5,저층,1984,42
은마,대치동,2026-06-03,3770000000,147611820.4,84.43,3,저층,1979,47
도곡렉슬,도곡동,2026-06-06,3640000000,141568688.4,84.9984,11,중층,2006,20
까치마을,수서동,2026-06-08,1535000000,147340389.1,34.44,7,중층,1993,33
현대4,일원동,2026-06-05,2420000000,94140221.2,84.98,1,저층,1987,39
신현대11차,압구정동,2026-06-02,9200000000,165821710.9,183.41,3,저층,1983,43
풍림(1차),삼성동,2026-06-01,2200000000,121821775.5,59.7,9,중층,1998,28
개포래미안포레스트,개포동,2026-06-03,2700000000,148959612.8,59.92,4,저층,2020,6
개포래미안포레스트,개포동,2026-06-06,3250000000,126606764.1,84.86,7,중층,2020,6
한양1차(영동한양),압구정동,2026-06-05,3890000000,257294157.7,49.98,11,중층,1977,49
동부센트레빌,대치동,2026-06-05,5900000000,133746279.9,145.83,12,중층,2005,21
거평프리젠,논현동,2026-06-02,350000000,38293231.8,30.215,7,중층,1996,30
강남 더샵 포레스트,수서동,2026-06-05,3200000000,84914335.6,124.5792,10,중층,2016,10
도곡1차아이파크,도곡동,2026-06-04,2510000000,61559608.0,134.789,25,고층,2007,19
신현대9차,압구정동,2026-06-04,6100000000,185207384.3,108.88,2,저층,1982,44
삼성동힐스테이트 1단지,삼성동,2026-06-04,3600000000,141280212.7,84.236,13,중층,2008,18
개포더샵트리에,개포동,2026-06-04,2850000000,87073770.6,108.2017,8,중층,2021,5
성원대치2단지아파트,개포동,2026-06-03,1710000000,143003238.0,39.53,9,중층,1992,34
새롬(1164-14),개포동,2026-06-03,820000000,46793647.5,57.93,6,중층,2000,26
개포더샵트리에,개포동,2026-06-03,2800000000,87482798.8,105.8064,14,중층,2021,5
성원대치2단지아파트,개포동,2026-06-03,1520000000,151441109.1,33.18,5,저층,1992,34
개포주공7단지,개포동,2026-06-03,3050000000,165942890.1,60.76,3,저층,1983,43
개포래미안포레스트,개포동,2026-06-03,3200000000,124658967.7,84.86,11,중층,2020,6
래미안대치팰리스,대치동,2026-06-03,4400000000,171184182.7,84.97,15,고층,2015,11
강남자곡 힐스테이트,자곡동,2026-06-02,1540000000,84947972.6,59.93,3,저층,2015,11
타워팰리스3,도곡동,2026-06-03,3600000000,95481262.2,124.641,30,고층,2004,22
까치마을,수서동,2026-06-03,1690000000,141080858.6,39.6,12,중층,1993,33
럭키(963),도곡동,2026-06-02,2580000000,100376179.8,84.97,13,중층,1995,31
래미안삼성2차,삼성동,2026-06-02,3100000000,101084829.4,101.38,4,저층,2007,19
삼성동힐스테이트 1단지,삼성동,2026-06-02,2700000000,105960159.6,84.236,5,저층,2008,18
성원대치2단지아파트,개포동,2026-06-02,1530000000,152437432.2,33.18,12,중층,1992,34
타워팰리스1,도곡동,2026-06-02,4500000000,85166886.1,174.67,13,중층,2002,24
청담대림이-편한세상,청담동,2026-06-01,2550000000,103003299.1,81.84,8,중층,2002,24
개포래미안포레스트,개포동,2026-06-02,2730000000,150614719.6,59.92,12,중층,2020,6
삼익대청아파트,개포동,2026-06-02,1930000000,124808176.8,51.12,13,중층,1992,34
동부센트레빌,대치동,2026-06-01,5400000000,122411849.4,145.83,16,고층,2005,21
네오블로썸,삼성동,2026-06-01,1500000000,49018386.7,101.16,4,저층,2009,17
아이파크,삼성동,2026-06-01,6650000000,151562745.6,145.046,9,중층,2004,22
대치현대,대치동,2026-06-01,2420000000,133735138.7,59.82,4,저층,1999,27
신동아(22),논현동,2026-06-01,2100000000,82136535.7,84.52,8,중층,1997,29
개포우성3차,개포동,2026-06-01,2950000000,93384180.8,104.43,1,저층,1984,42
